Category,Movie or Series,Year
COMEDIAS,Guess Who's Coming to Dinner (1967),1967
COMEDIAS,"What's Up, Doc? (1972)",1972
SAGAS y SERIES,Guerra de las galaxias,1977
Investment Banking,Trading places,1983
Investment Banking,Wall Street,1987
COMEDIAS,A fish called Wanda (1988),1988
Investment Banking,Glengarry glenross,1992
Investment Banking,Barbarians at the gate,1993
COMEDIAS,True Lies (1994),1994
SAGAS y SERIES,Friends,1994
ACCIÓN,Braveheart (1995),1995
MIEDO o THRILLER,Sleepers (1996),1996
INTRIGA,Sleepers (1996),1996
ROMÁNTICAS,My Best Friend's Wedding (1997),1997
ROMÁNTICAS,Picture Perfect (1997),1997
INTRIGA,Double Jeopardy (1999),1999
Investment Banking,Rogue trading,1999
ACCIÓN,The Mummy (1999),1999
ROMÁNTICAS,Notting Hill (1999),1999
MIEDO o THRILLER,The Green Mile (1999),1999
Investment Banking,Boiler room,2000
COMEDIAS,Meet the Parents (2000),2000
ACCIÓN,The Patriot (2000),2000
COMEDIAS,What Women Want (2000),2000
SAGAS y SERIES,Gilmore Girls,2000
ROMÁNTICAS,Pearl Harbor (2001),2001
ROMÁNTICAS,The Wedding Planner (2001),2001
ROMÁNTICAS,Bridget Jones's Diary (2001),2001
COMEDIAS,Ocean’s eleven (2001),2001
ACCIÓN,The mummy returns (2001),2001
SAGAS y SERIES,Bands of brothers,2001
SAGAS y SERIES,Harry Potter,2001
ROMÁNTICAS,The Sweetest Thing (2002),2002
ROMÁNTICAS,Love Actually (2003),2003
ROMÁNTICAS,How to Lose a Guy in 10 Days (2003),2003
SAGAS y SERIES,Piratas del Caribe,2003
ROMÁNTICAS,Along Came Polly (2004),2004
ROMÁNTICAS,Bridget Jones's The Edge of Reason (2004),2004
COMEDIAS,Meet the Fockers (2004),2004
SAGAS y SERIES,House M.D.,2004
COMEDIAS,Ocean’s twelve (2004),2004
ROMÁNTICAS,Pride and Prejudice (2005),2005
ROMÁNTICAS,Rumor Has It (2005),2005
ROMÁNTICAS,The Wedding Date (2005),2005
SAGAS y SERIES,The Office,2005
SAGAS y SERIES,How I met your mother,2005
COMEDIAS,Monster in law (2005),2005
COMEDIAS,Hitch (2005),2005
ROMÁNTICAS,The Holiday (2006),2006
INTRIGA,The Ilusionist (2006),2006
ACCIÓN,Annapolis (2006),2006
COMEDIAS,The devil wears prada (2006),2006
COMEDIAS,Death at a Funeral (2007),2007
COMEDIAS,Marley & Me (2008),2008
SAGAS y SERIES,Breaking bad,2008
ROMÁNTICAS,What Happens in Vegas (2008),2008
ROMÁNTICAS,27 Dresses (2008),2008
COMEDIAS,Inglourious Basterds (2009),2009
COMEDIAS,Ocean’s thirteen (2009),2009
COMEDIAS,The Hangover (2009),2009
COMEDIAS,It’s complicated (2009),2009
SAGAS y SERIES,Modern Family,2009
ROMÁNTICAS,The Ugly Truth (2009),2009
ROMÁNTICAS,The Proposal (2009),2009
ROMÁNTICAS,He's Just Not That Into You (2009),2009
MIEDO o THRILLER,Expediente 39 (2009),2009
Investment Banking,Capitalism a Love Story,2009
COMEDIAS,Little Fockers (2010),2010
COMEDIAS,Killers (2010),2010
ROMÁNTICAS,Leap Year (2010),2010
COMEDIAS,You Again (2010),2010
COMEDIAS,Grown Ups (2010),2010
SAGAS y SERIES,Downton Abbey,2010
ACCIÓN,Killers (2010),2010
COMEDIAS,Life as we know it (2010),2010
Investment Banking,Inside Job,2010
COMEDIAS,The Change-Up (2011),2011
SAGAS y SERIES,Revenge,2011
COMEDIAS,Bad Teacher (2011),2011
ROMÁNTICAS,Something Borrowed (2011),2011
COMEDIAS,The Hangover Part II (2011),2011
COMEDIAS,Horrible Bosses (2011),2011
COMEDIAS,"Crazy, Stupid Love (2011)",2011
COMEDIAS,Jack and Jill (2011),2011
COMEDIAS,Just Go with It (2011),2011
COMEDIAS,Hall Pass (2011),2011
Investment Banking,Margin Call,2011
Investment Banking,Too big to fail,2011
COMEDIAS,That's My Boy (2012),2012
COMEDIAS,Battleship (2012),2012
COMEDIAS,The Hangover Part III (2013),2013
COMEDIAS,The big wedding (2013),2013
COMEDIAS,Grown Ups 2 (2013),2013
COMEDIAS,Last Vegas (2013),2013
COMEDIAS,Malavita (2013),2013
COMEDIAS,We're the Millers (2013),2013
