Category,Movie or Series,Year
COMEDIAS,Guess Who's Coming to Dinner (1967),1967
COMEDIAS,"What's Up, Doc? (1972)",1972
COMEDIAS,A fish called Wanda (1988),1988
COMEDIAS,True Lies (1994),1994
COMEDIAS,Meet the Parents (2000),2000
COMEDIAS,What Women Want (2000),2000
COMEDIAS,Ocean’s eleven (2001),2001
COMEDIAS,Meet the Fockers (2004),2004
COMEDIAS,Ocean’s twelve (2004),2004
COMEDIAS,Hitch (2005),2005
COMEDIAS,Monster in law (2005),2005
COMEDIAS,The devil wears prada (2006),2006
COMEDIAS,Death at a Funeral (2007),2007
COMEDIAS,Ocean’s thirteen (2009),2009
COMEDIAS,Marley & Me (2008),2008
COMEDIAS,The Hangover (2009),2009
COMEDIAS,It’s complicated (2009),2009
COMEDIAS,Grown Ups (2010),2010
COMEDIAS,Little Fockers (2010),2010
COMEDIAS,Killers (2010),2010
COMEDIAS,Life as we know it (2010),2010
COMEDIAS,You Again (2010),2010
COMEDIAS,The Hangover Part II (2011),2011
COMEDIAS,Horrible Bosses (2011),2011
COMEDIAS,Just Go with It (2011),2011
COMEDIAS,Hall Pass (2011),2011
COMEDIAS,Bad Teacher (2011),2011
COMEDIAS,The Change-Up (2011),2011
COMEDIAS,"Crazy, Stupid Love (2011)",2011
COMEDIAS,Jack and Jill (2011),2011
COMEDIAS,That's My Boy (2012),2012
COMEDIAS,Battleship (2012),2012
COMEDIAS,The Hangover Part III (2013),2013
COMEDIAS,The big wedding (2013),2013
COMEDIAS,Grown Ups 2 (2013),2013
COMEDIAS,Last Vegas (2013),2013
COMEDIAS,Malavita (2013),2013
COMEDIAS,We're the Millers (2013),2013
COMEDIAS,This Is Where I Leave You (2014),2014
COMEDIAS,The Other Woman (2014),2014
COMEDIAS,What We Did on Our Holiday (2014),2014
COMEDIAS,Horrible Bosses 2 (2014),2014
COMEDIAS,Vacation (2015),2015
COMEDIAS,Bad moms (2016),2016
COMEDIAS,How to Be Single (2016),2016
COMEDIAS,Masterminds (2016),2016
COMEDIAS,The Hitman’s bodyguard (2017),2017
COMEDIAS,Murder Mystery 1 (2019),2019
COMEDIAS,Hitman's Wife's Bodyguard (2021),2021
COMEDIAS,Murder Mystery 2 (2023),2023
COMEDIAS,No hard feelings (2023),2023
COMEDIAS,Inglourious Basterds (2009),2009
INTRIGA,Sleepers (1996),1996
INTRIGA,Double Jeopardy (1999),1999
INTRIGA,The Ilusionist (2006),2006
INTRIGA,The Crooked House (2017),2017
INTRIGA,Knives Out (2019),2019
INTRIGA,Glass Onion (2023),2023
ACCIÓN,Braveheart (1995),1995
ACCIÓN,The Mummy (1999),1999
ACCIÓN,The Patriot (2000),2000
ACCIÓN,The mummy returns (2001),2001
ACCIÓN,Annapolis (2006),2006
ACCIÓN,Killers (2010),2010
ACCIÓN,Hacksaw Ridge (2016),2016
ACCIÓN,Deadpool (2016),2016
ACCIÓN,Deadpool 2 (2018),2018
MIEDO o THRILLER,Sleepers (1996),1996
MIEDO o THRILLER,The Green Mile (1999),1999
MIEDO o THRILLER,Expediente 39 (2009),2009
MIEDO o THRILLER,Expediente Warren (2013),2013
MIEDO o THRILLER,The Conjuring (2013),2013
MIEDO o THRILLER,La Monja (2018),2018
ROMÁNTICAS,Notting Hill (1999),1999
ROMÁNTICAS,Picture Perfect (1997),1997
ROMÁNTICAS,My Best Friend's Wedding (1997),1997
ROMÁNTICAS,The Wedding Planner (2001),2001
ROMÁNTICAS,Pearl Harbor (2001),2001
ROMÁNTICAS,Bridget Jones's Diary (2001),2001
ROMÁNTICAS,The Sweetest Thing (2002),2002
ROMÁNTICAS,How to Lose a Guy in 10 Days (2003),2003
ROMÁNTICAS,Love Actually (2003),2003
ROMÁNTICAS,Along Came Polly (2004),2004
ROMÁNTICAS,Bridget Jones's The Edge of Reason (2004),2004
ROMÁNTICAS,Pride and Prejudice (2005),2005
ROMÁNTICAS,Rumor Has It (2005),2005
ROMÁNTICAS,The Wedding Date (2005),2005
ROMÁNTICAS,The Holiday (2006),2006
ROMÁNTICAS,27 Dresses (2008),2008
ROMÁNTICAS,What Happens in Vegas (2008),2008
ROMÁNTICAS,He's Just Not That Into You (2009),2009
ROMÁNTICAS,The Proposal (2009),2009
ROMÁNTICAS,The Ugly Truth (2009),2009
ROMÁNTICAS,Leap Year (2010),2010
ROMÁNTICAS,Something Borrowed (2011),2011
ROMÁNTICAS,"Love, Rosie (2014)",2014
ROMÁNTICAS,Bridget Jones's Baby (2016),2016
SAGAS y SERIES,Harry Potter,
SAGAS y SERIES,Piratas del Caribe,
SAGAS y SERIES,Guerra de las galaxias,
SAGAS y SERIES,Gilmore Girls,
SAGAS y SERIES,Friends,
SAGAS y SERIES,The Office,
SAGAS y SERIES,Revenge,
SAGAS y SERIES,Ozarks,
SAGAS y SERIES,Breaking bad,
SAGAS y SERIES,Modern Family,
SAGAS y SERIES,The queen’s gambit,
SAGAS y SERIES,13 reasons why,
SAGAS y SERIES,How I met your mother,
SAGAS y SERIES,Bands of brothers,
SAGAS y SERIES,Downton Abbey,
SAGAS y SERIES,House M.D.,
Investment Banking,Wall Street,
Investment Banking,The Big short,
Investment Banking,Wolf of Wall Street,
Investment Banking,Margin Call,
Investment Banking,Boiler room,
Investment Banking,Too big to fail,
Investment Banking,Rogue trading,
Investment Banking,Glengarry glenross,
Investment Banking,Trading places,
Investment Banking,Barbarians at the gate,
Investment Banking,Inside Job,
Investment Banking,Capitalism a Love Story,
